image_id,caption_1,caption_2,similarity,error
1,"The image depicts a cozy living room with a dining table in the center. The table is surrounded by several chairs, with some placed closer to the table and others further away. A woman is standing near the table, possibly preparing to sit down.

In the room, there is a TV mounted on the wall, and a clock can be seen hanging on the wall as well. A potted plant is placed near the table, adding a touch of greenery to the space. A refrigerator is also visible in the background, indicating that the living room is part of a larger kitchen area.","The image is a cartoon-like drawing of a living room, featuring a woman sitting in a chair. The room is furnished with a couch, a dining table, and a TV. There are several potted plants scattered throughout the room, adding a touch of greenery to the space.

On the dining table, there are multiple cups, bowls, and a spoon, suggesting that the woman might be enjoying a meal or a snack. A clock is also visible on the wall, indicating the time. The overall atmosphere of the room is cozy and inviting.",0.8216608762741089,
2,The image features a large brown bear sitting on a grassy field. The bear appears to be relaxed and enjoying the outdoors. The grassy area surrounding the bear provides a natural setting for the scene.,"The image features a large brown bear sitting in a grassy field. The bear is positioned in the center of the scene, with its legs spread out and its body facing the viewer. The grassy field extends to the edges of the image, creating a serene and natural setting for the bear.",0.9385825991630554,
3,"The image features a cozy bedroom with a large bed situated in the center of the room. The bed is covered with a blue comforter, and there is a mirror on the left side of the room. A window is present in the room, allowing natural light to enter.

The room is filled with various books, some of which are placed on the bed, while others are scattered throughout the space. There are also a few potted plants in the room, adding a touch of greenery to the environment. A chair can be seen near the bed, and a vase is placed on a surface in the room.","The image features a cozy bedroom with a large bed situated in the center of the room. The bed is adorned with a blue comforter, and there are numerous books scattered around the room, indicating a love for reading.

In addition to the bed, there is a desk with a chair nearby, providing a comfortable workspace. A potted plant is placed in the room, adding a touch of greenery to the space. A vase can also be seen, adding to the room's decor.

The room is filled with books, some of which are placed on the bed, while others are scattered throughout the room. The presence of numerous books suggests that the occupant of the room is an avid reader.",0.8801981210708618,
4,"The image features a stop sign with the word ""dolls"" written on it, located at an intersection. The stop sign is positioned on a pole, and there is a truck parked nearby. The scene also includes a few cars and a bus, with one car parked closer to the left side of the image and another car further back on the right side. The bus is situated in the middle of the scene, closer to the center.","The image is a cartoon-like drawing of a city street with a yellow school bus driving down the road. The bus is positioned in the center of the scene, and there are several people walking around the street, some closer to the bus and others further away.

In addition to the bus, there are two cars visible in the scene, one on the left side and another on the right side of the street. A stop sign can be seen on the right side of the street, indicating a traffic regulation.

The overall atmosphere of the scene is lively and bustling, with people going about their daily activities.",0.6700281500816345,
5,"The image features a group of teddy bears sitting on a bed. There are five teddy bears in total, with some of them positioned closer to the foreground and others further back. The teddy bears are arranged in a way that they appear to be interacting with each other, creating a sense of companionship. The scene is warm and inviting, showcasing the comforting presence of these stuffed animals.","The image features a white bed with a variety of teddy bears sitting and laying on it. There are a total of nine teddy bears in the scene, with some positioned closer to the bed's edge and others spread out across the bed. The teddy bears come in different sizes and colors, creating a diverse and playful atmosphere. The bed itself is situated in the background, with the teddy bears being the main focus of the scene.",0.852274477481842,
6,"The image features a woman wearing a red jacket and skiing down a snow-covered slope. She is holding ski poles in her hands, maintaining her balance and control as she glides down the hill. The woman appears to be enjoying her time on the slopes, surrounded by the beautiful winter landscape.","The image features a woman wearing a red jacket and skiing down a snow-covered slope. She is holding ski poles in her hands, and her skis are visible beneath her. The woman appears to be enjoying her time on the mountain, as she smiles while skiing.

In the background, there are a few other people, but they are not the main focus of the scene. The woman is the center of attention, as she glides down the slope with her skis and poles.",0.9410071969032288,
7,"The image depicts a small kitchen with a white refrigerator on the right side and a white stove on the left side. The kitchen is equipped with wooden cabinets and a microwave above the stove. There is also a sink in the kitchen area.

In addition to the main appliances, there are a few other items in the kitchen. A bottle can be seen on the countertop, and a cup is placed nearby. A bowl is also present in the scene, likely used for food preparation or serving.","The image depicts a small, clean, and well-organized kitchen with wooden cabinets and white appliances. The kitchen features a white stove top oven, a microwave, and a sink. There is a refrigerator on the right side of the kitchen.

Various items can be seen on the countertops, including a bowl, a cup, a banana, and an apple. A bottle is also placed on the countertop. The kitchen appears to be well-maintained and ready for use.",0.9413728713989258,
8,"The image captures a baseball game in progress, with two men playing the game. One of the men is wearing a baseball glove, ready to catch the ball. The other man is running towards the base, likely trying to reach it before the ball arrives.

The scene takes place on a baseball field, with a bench visible in the background. The players are focused on the game, and their actions demonstrate the intensity and excitement of the sport.","The image captures a moment during a baseball game, with two baseball players in the center of the action. One player is in the process of throwing a baseball, while the other player is attempting to catch it. The baseball is visible in the air, close to the player who is throwing it.

There are several other people in the scene, likely teammates, opponents, or spectators. Some of them are standing closer to the action, while others are further away. The scene is filled with excitement and anticipation as the players engage in the game.",0.8358896970748901,
9,"The image captures a tennis match in progress, with a man in a white shirt and white shorts playing the game. He is holding a tennis racket and appears to be in the middle of a swing. The tennis ball is in the air, close to the player.

There are several other people in the scene, likely spectators or fellow players. Some of them are standing near the tennis court, while others are positioned further away. The presence of multiple people suggests that this is a popular event or a well-attended match.","The image captures a tennis match in progress, with a man in a white shirt and shorts playing the game. He is holding a tennis racket and appears to be in the middle of a swing, attempting to hit the tennis ball. The tennis ball is located near the top left corner of the image.

There are several other people in the scene, likely spectators or fellow players. Some of them are standing close to the tennis court, while others are positioned further away. The presence of multiple people suggests that this is a popular event or a well-attended match.",0.9781100749969482,
10,"The image features a group of young people, both boys and girls, standing together on a tennis court. They are all wearing tennis attire and are posing for a photo. There are several tennis rackets visible in the scene, with some held by the players and others placed on the ground.

In addition to the tennis rackets, there are a few backpacks scattered around the court, likely belonging to the players. The group appears to be enjoying their time together, possibly participating in a tennis event or practice session.","The image features a group of young people, both boys and girls, standing together on a tennis court. They are all dressed in tennis attire, with some of them holding tennis rackets. The group is posing for a picture, showcasing their unity and shared interest in the sport.

There are several tennis rackets visible in the scene, with some held by the players and others placed on the ground. The players are spread out across the court, with some standing closer to the net and others positioned further back. The overall atmosphere of the scene is one of camaraderie and enjoyment of the game.",0.972734272480011,
